RadViz_X,RadViz_Y,Obj_DeltaW_BGA,Obj_DeltaW_bump,Obj_ELK_stress,Obj_Warpage_Post_UF_cure,Obj_Warpage_post_lid_atach,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
0.17150827967707774,0.17826325216835517,0.02765144407749176,0.0011778961634263396,6.52008056640625,-0.015515770763158798,0.01186992134898901,0.25,0.04,0.125,3.0,1.0,3e-06,1.2,2.5e-05,1.0,SAC405,SAC105,SAC405
0.08642705569003932,-0.3689599760789092,0.0,0.5853983163833618,8.83493423461914,-0.08197586983442307,0.023671887814998627,0.25,0.02,0.125,3.0,2.0,9e-06,0.4,3e-05,1.0,SAC405,SAC305,SAC205
0.1817758223796583,-0.06107615505656404,0.025245368480682373,0.1482159048318863,8.35700511932373,-0.03566204383969307,-0.023794598877429962,0.75,0.06,0.125,9.0,2.0,9e-06,1.2,2e-05,1.0,SAC305,SAC405,SAC205
-0.09764256295275657,0.2079939848617261,0.053083814680576324,0.08670938014984131,4.704348087310791,-0.017247188836336136,0.014030242338776588,0.75,0.06,0.125,3.0,2.0,3e-06,1.2,2.5e-05,1.5,SAC305,SAC105,SAC205
0.006456984949077186,0.577727722822538,0.026117855682969093,0.0,4.8943047523498535,-0.021091403439641,0.2107924371957779,0.5,0.06,0.125,9.0,1.0,3e-06,1.2,2e-05,1.0,SAC305,SAC105,SAC205
0.3239971572704351,-0.33678796569855507,0.0,0.40474972128868103,10.838635444641113,-0.05783940479159355,-0.01401249598711729,0.75,0.02,0.125,6.0,1.5,9e-06,0.4,2e-05,1.0,SAC405,SAC205,SAC405
0.006456984949077186,0.577727722822538,0.026117855682969093,0.0,4.8943047523498535,-0.021091403439641,0.2107924371957779,0.5,0.06,0.125,9.0,1.0,3e-06,1.2,2e-05,1.0,SAC305,SAC105,SAC205
0.15136431263624062,-0.21781439564621694,0.0,0.31243404746055603,10.456433296203613,-0.08850128203630447,0.06996080279350281,0.25,0.02,0.125,9.0,1.0,9e-06,0.4,2e-05,1.0,SAC405,SAC405,SAC405
0.061025016150798535,0.10517927815967068,0.0,0.28713515400886536,4.3317437171936035,-0.042730703949928284,0.08863639831542969,0.5,0.06,0.125,9.0,1.0,9e-06,0.8,3e-05,2.0,SAC305,SAC105,SAC305
0.3239971572704351,-0.33678796569855507,0.0,0.40474972128868103,10.838635444641113,-0.05783940479159355,-0.01401249598711729,0.75,0.02,0.125,6.0,1.5,9e-06,0.4,2e-05,1.0,SAC405,SAC205,SAC405
