Dataset,Target,Model,Train_R2_Baseline,Test_R2_Baseline,Train_MSE_Baseline,Test_MSE_Baseline,Train_R2_Improved,Test_R2_Improved,Train_MSE_Improved,Test_MSE_Improved,ANN_Layers,ANN_Alpha,ANN_LR,ANN_CV_R2,Test_R2_Delta,Test_MSE_Delta
Assembly,ELK stress,ANN,0.9422215983016006,0.8720627335047202,0.2755548110599083,0.622831379903677,0.9453991123296279,0.8985502326835754,0.26040071797502556,0.49388345006516876,"(64, 32)",0.001,0.001,0.9194040127794925,0.02648749917885518,-0.12894792983850822
Assembly,Warpage Post UF cure,ANN,-3.3338562594452927,-10.743168709866074,0.0015194529838356,0.0034889096586128,0.9763421986996869,0.9492649421675043,8.294441399252571e-06,1.5073447182391185e-05,"(64, 32)",0.001,0.001,0.9470515721917392,11.692433652033579,-0.0034738362114304084
Assembly,Warpage post lid attach,ANN,-0.5910458851136788,-2.7160919855422887,0.0026406499653213,0.0092939812444255,0.2338497079591787,0.09521803659837713,0.0012715753587232476,0.002262868258069255,"(32, 16)",0.0001,0.001,0.026107650904826828,2.811310022140666,-0.007031112986356246
SJR,DeltaW_BGA,ANN,0.1376108391137216,-1.642578135696735,0.0015332346809697,0.0048758123894113,0.3135302675803966,0.19841444536284902,0.001220468958700829,0.0014790029197916151,"(64, 32)",0.01,0.001,0.09412803648537955,1.840992581059584,-0.003396809469619685
SJR,DeltaW_bump,ANN,0.7690216721935268,0.1723697808459489,0.0094702306056217,0.0244014029812988,0.5350248032803226,0.46848928753994357,0.019064222953935006,0.01567077516438652,"(64, 32)",0.01,0.001,0.5651233944435807,0.29611950669399467,-0.008730627816912279
