Dataset,Target,Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Model_Quality
Assembly,ELK stress,XGBoost,0.9983157787534332,0.9824823912943088,0.008032331351139321,0.08528020569503784,Very good
Assembly,Warpage Post UF cure,XGBoost,0.9920859370485928,0.9715708177573158,2.7746759112214587e-06,8.446344505774955e-06,Very good
Assembly,Warpage post lid attach,Tuned Extra Trees,0.2490227384873599,0.1767362933841643,0.001246392764737155,0.002058990325931683,Weak
SJR,DeltaW_BGA,Tuned Random Forest,0.7426657840391405,0.6350169623315364,0.010550835617392134,0.010760963021130348,Medium
SJR,DeltaW_bump,Tuned Random Forest,0.4515831441117708,0.3446123889074466,0.0009750258713967092,0.0012092535660025892,Weak
