Dataset,Target,Train_R2,Test_R2,Train_MSE,Test_MSE,Model_Quality
Assembly,ELK stress,0.9917605560780114,0.8902211176001434,0.0392952789697052,0.5344317154994773,Good
Assembly,Warpage Post UF cure,0.9957911655994736,0.9527937051306063,1.475620234153452e-06,1.4025047428534406e-05,Very good
Assembly,Warpage post lid attach,0.8334436553044339,0.1566476820737594,0.0002764326346332,0.0021092321330429,Weak
SJR,DeltaW_BGA,0.9397143408328976,0.5703999210815569,0.0024717431282242,0.0126660970127475,Medium
SJR,DeltaW_bump,0.8688812561524014,0.3441951029708767,0.0002331149491555,0.0012100234989373,Weak
