Dataset,Target,Best_Tuned_Model,Train_R2,Test_R2,Train_MSE,Test_MSE
Assembly,Warpage post lid attach,Tuned Extra Trees,0.2490227384873599,0.1767362933841643,0.001246392764737155,0.002058990325931683
SJR,DeltaW_BGA,Tuned Random Forest,0.7426657840391405,0.6350169623315364,0.010550835617392134,0.010760963021130348
SJR,DeltaW_bump,Tuned Random Forest,0.4515831441117708,0.3446123889074466,0.0009750258713967092,0.0012092535660025892
