Dataset,Target,Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Model_Quality
Assembly,ELK stress,XGBoost,0.9944316806672896,0.9767009889232352,0.0265562413729545,0.1134255531391065,Very good
Assembly,Warpage Post UF cure,XGBoost,0.993923747251887,0.9765526285346596,2.130338390558873e-06,6.966242484941878e-06,Very good
Assembly,Warpage post lid attach,Tuned Extra Trees,0.2490227384873599,0.1767362933841643,0.0012463927647371,0.0020589903259316,Weak
SJR,DeltaW_BGA,Tuned Random Forest,0.7426657840391405,0.6350169623315364,0.0105508356173921,0.0107609630211303,Medium
SJR,DeltaW_bump,Tuned Random Forest,0.4515831441117708,0.3446123889074466,0.0009750258713967,0.0012092535660025,Weak
