Dataset,Target,Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Model_Quality
Assembly,ELK stress,XGBoost,0.9944316806672896,0.9767009889232352,0.0265562413729545,0.1134255531391065,Very good
Assembly,Warpage Post UF cure,XGBoost,0.993923747251887,0.9765526285346596,2.130338390558873e-06,6.966242484941878e-06,Very good
Assembly,Warpage post lid attach,Random Forest,0.8334436553044339,0.1566476820737594,0.0002764326346332,0.0021092321330429,Weak
SJR,DeltaW_BGA,Random Forest,0.9397143408328976,0.5703999210815569,0.0024717431282242,0.0126660970127475,Medium
SJR,DeltaW_bump,Random Forest,0.8688812561524014,0.3441951029708767,0.0002331149491555,0.0012100234989373,Weak
