Target,Train_R2,Test_R2,Train_MSE,Test_MSE
ELK stress,0.9917605560780114,0.8902211176001434,0.03929527896970521,0.5344317154994773
Warpage Post UF cure,0.9957911655994737,0.9527937051306065,1.475620234153452e-06,1.4025047428534406e-05
Warpage post lid attach,0.8334436553044339,0.15664768207375945,0.0002764326346332753,0.002109232133042981
