Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,lid thickness,Cu-pillar bump solder material,BGA solder material,DeltaW_BGA,DeltaW_bump
0.125,0.25,0.06,1.2,9e-06,3e-05,3,2.0,SAC105,SAC305,0.34947355836629895,0.014635612955316901
0.125,0.75,0.06,1.2,9e-06,2e-05,3,2.0,SAC405,SAC205,0.16486954316496902,0.013079975149594199
0.125,0.75,0.02,0.4,3e-06,3e-05,9,1.5,SAC205,SAC305,0.5975563923517789,0.023606922826729698
0.125,0.5,0.06,0.4,9e-06,2e-05,9,1.0,SAC205,SAC105,0.203426670283079,0.014662254310678701
0.125,0.75,0.04,0.8,9e-06,2e-05,3,2.0,SAC305,SAC305,0.257325857877731,0.0023471548920497394
0.125,0.25,0.04,0.8,3e-06,3e-05,3,2.0,SAC305,SAC405,0.175072260200978,0.033637774642556906
0.125,0.5,0.02,0.4,3e-06,2e-05,6,1.0,SAC105,SAC305,0.519087816278139,0.0171817592345178
0.125,0.25,0.04,0.4,9e-06,3e-05,6,1.0,SAC305,SAC105,0.435706578195095,0.00269574264530093
0.125,0.25,0.04,0.4,3e-06,2e-05,3,1.0,SAC305,SAC305,0.117396865040064,0.0132347999606282
0.125,0.75,0.06,1.2,3e-06,3e-05,3,2.0,SAC105,SAC305,0.222792252898216,0.024876849493011798
0.125,0.25,0.04,0.8,6e-06,2.5e-05,3,2.0,SAC205,SAC405,0.18305781111121203,0.006988688721321502
0.125,0.25,0.04,0.8,9e-06,2.5e-05,3,1.5,SAC205,SAC105,0.352641001343727,0.012717845791485102
0.125,0.25,0.06,1.2,9e-06,2.5e-05,6,1.0,SAC205,SAC305,0.176056817173958,0.00125804274421171
0.125,0.75,0.02,0.8,6e-06,2.5e-05,9,1.0,SAC405,SAC105,0.45732159912586196,0.0105762018647511
0.125,0.75,0.04,1.2,3e-06,2e-05,3,1.0,SAC205,SAC205,0.114027708768844,0.0512555078603327
0.125,0.25,0.02,1.2,6e-06,2.5e-05,9,1.5,SAC105,SAC105,0.6051443914572361,0.09045297466218451
0.125,0.25,0.02,0.8,9e-06,3e-05,9,1.5,SAC405,SAC405,0.645748794078821,0.00145487325789873
0.125,0.5,0.06,0.8,6e-06,2.5e-05,6,1.5,SAC205,SAC205,0.218501534312964,0.008840765716740901
0.125,0.75,0.06,1.2,3e-06,2.5e-05,6,1.0,SAC405,SAC105,0.22645021229982404,0.17332717124372699
0.125,0.75,0.02,0.8,6e-06,2e-05,6,1.5,SAC105,SAC305,0.819473812977465,0.055764959193766006
0.125,0.25,0.06,1.2,6e-06,2e-05,3,1.5,SAC205,SAC205,0.09934956766664899,0.019831456011161198
0.125,0.75,0.02,1.2,6e-06,2.5e-05,9,1.5,SAC105,SAC305,0.40641034642855306,0.0103384508402086
0.125,0.75,0.06,0.8,3e-06,2.5e-05,6,1.0,SAC205,SAC205,0.18225789815187501,0.0233859881409444
0.125,0.75,0.06,0.4,9e-06,2e-05,6,1.0,SAC405,SAC305,0.16774219274520902,0.0064309909357689096
0.125,0.25,0.06,0.8,9e-06,2.5e-05,6,2.0,SAC205,SAC105,0.22297428920865003,0.0056751923984847095
0.125,0.25,0.06,1.2,9e-06,2.5e-05,6,1.5,SAC205,SAC105,0.23577113449573497,0.00631809381957281
0.125,0.75,0.06,1.2,3e-06,2e-05,9,2.0,SAC405,SAC305,0.10372780263423897,0.0731305088847867
0.125,0.75,0.04,0.8,6e-06,2e-05,6,1.0,SAC105,SAC405,0.38733521848917,0.051901251077651284
0.125,0.25,0.04,0.4,9e-06,2.5e-05,6,1.0,SAC405,SAC405,0.31424634903669396,0.0006699327037722499
0.125,0.75,0.06,0.4,9e-06,3e-05,9,1.0,SAC105,SAC405,0.32016864418983504,0.004386606975458491
0.125,0.25,0.06,0.4,3e-06,2.5e-05,6,2.0,SAC405,SAC105,0.22180834785103803,0.016292237356537904
0.125,0.25,0.04,0.8,9e-06,2e-05,6,1.5,SAC405,SAC205,0.16183117404580102,0.00133325745082402
0.125,0.5,0.04,0.8,9e-06,3e-05,3,1.5,SAC405,SAC305,0.479950293898582,0.007253894698806102
0.125,0.75,0.02,0.4,3e-06,2e-05,9,1.5,SAC105,SAC105,0.71013092497984,0.0363242668681778
0.125,0.75,0.04,0.8,3e-06,2e-05,6,1.5,SAC105,SAC105,0.181702129542828,0.024161528097465603
0.125,0.5,0.06,1.2,6e-06,3e-05,6,1.5,SAC205,SAC405,0.273562170565128,0.0093427423853427
0.125,0.75,0.02,0.8,9e-06,3e-05,9,2.0,SAC205,SAC305,0.7925378233194269,0.00330775682232334
0.125,0.5,0.02,0.4,3e-06,2e-05,6,2.0,SAC305,SAC405,0.5096204926570171,0.007478372775949498
0.125,0.5,0.02,0.8,6e-06,2e-05,3,1.0,SAC205,SAC405,0.348291551073393,0.0022772065130993707
0.125,0.25,0.06,1.2,3e-06,2.5e-05,9,2.0,SAC305,SAC205,0.08247724547982202,0.06561973737552709
0.125,0.5,0.04,1.2,6e-06,3e-05,9,2.0,SAC305,SAC305,0.267213709652424,0.0050658034451772
0.125,0.75,0.02,0.4,3e-06,3e-05,9,1.5,SAC105,SAC105,0.8911643723646799,0.0381737070856616
0.125,0.25,0.02,1.2,9e-06,2e-05,9,1.5,SAC305,SAC105,0.434949457645416,0.0143930237973109
0.125,0.25,0.02,0.8,6e-06,3e-05,6,2.0,SAC305,SAC305,0.710345556338624,0.023410603869706406
0.125,0.25,0.06,1.2,6e-06,2e-05,6,2.0,SAC205,SAC105,0.16588114947080598,0.08743015676736761
0.125,0.5,0.04,0.8,3e-06,3e-05,9,1.5,SAC405,SAC305,0.21255400031805,0.0124873615859542
0.125,0.75,0.06,0.4,6e-06,2.5e-05,6,1.0,SAC105,SAC205,0.382623165845871,0.0214275314938277
0.125,0.75,0.02,0.4,3e-06,2.5e-05,3,2.0,SAC305,SAC305,0.6630406081676389,0.010756295116152599
0.125,0.5,0.04,1.2,3e-06,2.5e-05,6,1.0,SAC405,SAC405,0.11136898770928397,0.028865810483694097
0.125,0.25,0.02,0.8,3e-06,3e-05,6,1.0,SAC105,SAC205,0.386873406668504,0.014124399807769802
0.125,0.75,0.04,0.8,9e-06,3e-05,9,1.5,SAC405,SAC205,0.5950498282909349,0.0167380829807371
0.125,0.25,0.02,1.2,9e-06,3e-05,3,1.5,SAC305,SAC205,1.15960197647413,0.0767641365528098
0.125,0.25,0.04,0.4,9e-06,2e-05,9,1.5,SAC305,SAC405,0.28390850871801404,0.00070203009414627
0.125,0.25,0.02,0.8,3e-06,2.5e-05,3,1.5,SAC305,SAC205,0.30628205835819294,0.016313962405547503
0.125,0.5,0.06,1.2,9e-06,3e-05,3,1.0,SAC105,SAC305,0.36465322971344,0.014750713715329801
0.125,0.25,0.04,1.2,6e-06,2e-05,3,1.5,SAC205,SAC405,0.284111820161342,0.0447490103542805
0.125,0.25,0.06,0.8,3e-06,2e-05,6,1.0,SAC205,SAC305,0.08316782116889998,0.010439809237141199
0.125,0.5,0.04,0.4,6e-06,2e-05,9,1.5,SAC105,SAC105,0.25196877494454406,0.020173972094198703
0.125,0.5,0.06,0.4,9e-06,2.5e-05,6,2.0,SAC405,SAC205,0.31488036364316996,0.0136467241245555
0.125,0.5,0.02,1.2,6e-06,2e-05,3,1.0,SAC205,SAC405,0.32503001391887704,0.0080433097900823
0.125,0.25,0.04,0.4,9e-06,3e-05,3,1.0,SAC105,SAC105,0.412566021084785,0.001470382365369
0.125,0.25,0.02,0.4,6e-06,2e-05,3,1.5,SAC105,SAC205,0.48927479485670705,0.016966562427114702
0.125,0.5,0.06,0.8,9e-06,2.5e-05,3,2.0,SAC205,SAC205,0.42250350862741504,0.0314266654895618
0.125,0.75,0.06,0.4,3e-06,3e-05,6,1.0,SAC405,SAC405,0.30146694928407597,0.0039062909199856
0.125,0.25,0.02,0.4,6e-06,3e-05,3,1.0,SAC205,SAC205,0.538834954301507,0.0060470086900749394
0.125,0.25,0.04,1.2,9e-06,3e-05,6,1.0,SAC105,SAC205,0.33327184617519395,0.0022385260608643893
0.125,0.25,0.02,1.2,9e-06,3e-05,6,1.5,SAC105,SAC205,0.6487671583890869,0.013136751251295202
0.125,0.25,0.06,0.4,9e-06,2.5e-05,9,1.0,SAC105,SAC105,0.21930760517716402,0.00818956164584961
0.125,0.5,0.04,0.8,9e-06,2.5e-05,9,1.5,SAC105,SAC105,0.32751305401325204,0.005552356029511391
0.125,0.25,0.02,0.8,9e-06,2.5e-05,6,1.0,SAC405,SAC405,0.295880397160848,0.0018532157982917904
0.125,0.25,0.02,0.4,3e-06,2e-05,9,2.0,SAC405,SAC105,0.52102131644884,0.0354579540435225
0.125,0.75,0.02,0.4,6e-06,3e-05,9,1.0,SAC405,SAC305,0.616872658332183,0.0089915902353823
0.125,0.75,0.06,1.2,9e-06,3e-05,3,1.0,SAC305,SAC205,0.254518926143646,0.007220890664029799
0.125,0.5,0.02,1.2,9e-06,3e-05,6,2.0,SAC105,SAC105,0.8806207974751711,0.075707164127379
0.125,0.5,0.06,0.4,6e-06,3e-05,6,2.0,SAC405,SAC205,0.371995188295841,0.0031034766143420694
0.125,0.5,0.06,0.8,3e-06,3e-05,6,2.0,SAC205,SAC405,0.27499801665544604,0.0364216336747631
0.125,0.5,0.02,1.2,9e-06,2.5e-05,6,1.0,SAC305,SAC405,0.9334621032078971,0.0305512179620564
0.125,0.5,0.04,1.2,9e-06,3e-05,3,1.0,SAC405,SAC105,0.325229704380036,0.0046242489625001005
0.125,0.25,0.04,0.4,9e-06,3e-05,9,1.5,SAC405,SAC205,0.30132792890071897,0.016196616634260797
0.125,0.75,0.02,0.8,3e-06,2e-05,3,1.5,SAC305,SAC405,0.574258873860041,0.104895373340696
0.125,0.5,0.04,0.8,3e-06,2e-05,3,2.0,SAC305,SAC405,0.17638789117336298,0.0373881281120703
0.125,0.75,0.06,0.4,3e-06,2.5e-05,3,2.0,SAC405,SAC105,0.250414855778217,0.026567598630208602
0.125,0.5,0.02,0.4,3e-06,2e-05,3,1.0,SAC205,SAC105,0.27497042715549497,0.0259580606361851
0.125,0.25,0.06,0.4,3e-06,3e-05,6,1.5,SAC405,SAC305,0.321978658437729,0.0190128735266626
