Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,lid thickness,Cu-pillar bump solder material,BGA solder material,DeltaW_BGA,DeltaW_bump
0.125,0.5,0.06,0.4,9e-06,3e-05,3,2.0,SAC205,SAC405,0.379960551857948,0.0010835458684823598
0.125,0.75,0.04,1.2,3e-06,2.5e-05,6,2.0,SAC105,SAC105,0.204542804509402,0.12975622899830297
0.125,0.5,0.04,0.4,9e-06,2e-05,3,1.0,SAC105,SAC405,0.295155182480812,0.00081732826171788
0.125,0.5,0.06,1.2,6e-06,2.5e-05,3,2.0,SAC405,SAC205,0.18983848020434402,0.025354446377605196
0.125,0.25,0.02,0.8,9e-06,2e-05,3,2.0,SAC205,SAC405,0.468110938866933,0.0011911326810150097
0.125,0.75,0.04,0.8,3e-06,2e-05,9,1.5,SAC305,SAC305,0.14388425275683397,0.027564909774810104
0.125,0.75,0.04,0.4,6e-06,3e-05,9,1.5,SAC105,SAC105,0.401424050331116,0.019859922380419396
0.125,0.25,0.06,1.2,9e-06,2.5e-05,6,1.5,SAC105,SAC205,0.18284219503402702,0.00248880629806081
0.125,0.5,0.02,0.4,3e-06,2e-05,9,1.0,SAC405,SAC105,0.33297008772691106,0.018816806783434
0.125,0.5,0.02,0.8,9e-06,3e-05,9,2.0,SAC105,SAC205,0.7448600878318069,0.0055574292491655
0.125,0.5,0.02,1.2,6e-06,2.5e-05,6,1.5,SAC305,SAC305,0.33140388627847,0.006008563213981601
0.125,0.75,0.04,0.8,6e-06,3e-05,6,2.0,SAC205,SAC405,0.43245014548301697,0.010597971791867201
0.125,0.75,0.06,1.2,6e-06,2e-05,6,1.0,SAC205,SAC305,0.11222201213240601,0.00426416660775426
0.125,0.5,0.04,0.8,3e-06,2.5e-05,9,1.5,SAC105,SAC105,0.304117664694786,0.07620519539341261
0.125,0.25,0.04,0.4,6e-06,3e-05,9,2.0,SAC205,SAC205,0.36636195331811894,0.002839351560396609
0.125,0.25,0.04,1.2,3e-06,3e-05,6,1.0,SAC305,SAC405,0.13360893726348902,0.0274232605006546
0.125,0.25,0.06,0.4,9e-06,2.5e-05,9,1.5,SAC105,SAC105,0.285563498735428,0.0030298014462459798
0.125,0.25,0.02,0.8,9e-06,2.5e-05,9,1.5,SAC405,SAC405,0.4479608088731771,0.0014013830368639901
0.125,0.75,0.02,0.8,9e-06,3e-05,3,1.5,SAC205,SAC105,0.723430862029393,0.004058736980368851
0.125,0.25,0.02,0.8,9e-06,3e-05,9,2.0,SAC305,SAC305,0.503151009480158,0.0023531920160166893
0.125,0.5,0.02,0.8,9e-06,3e-05,3,2.0,SAC405,SAC405,0.4812221626440619,0.0018283597019035404
0.125,0.5,0.04,1.2,3e-06,3e-05,9,1.0,SAC105,SAC205,0.21803667396307003,0.0545797869563103
0.125,0.5,0.04,0.8,6e-06,2.5e-05,6,1.5,SAC305,SAC105,0.327747486531734,0.0356741187861189
0.125,0.5,0.06,1.2,6e-06,2.5e-05,3,1.0,SAC105,SAC305,0.182985063642264,0.0164662378374487
0.125,0.75,0.06,1.2,9e-06,2.5e-05,6,1.0,SAC105,SAC405,0.24718540161848,0.0042690985137597
0.125,0.25,0.06,0.4,3e-06,2e-05,9,1.5,SAC205,SAC405,0.13994808122515598,0.0037300023395800287
0.125,0.25,0.06,1.2,6e-06,2.5e-05,9,1.5,SAC105,SAC105,0.177666865289211,0.0132010777015239
0.125,0.75,0.06,0.8,3e-06,3e-05,6,1.5,SAC305,SAC205,0.4138418659567831,0.07449649600312071
0.125,0.75,0.06,1.2,3e-06,2.5e-05,6,2.0,SAC405,SAC405,0.15600952878594404,0.0669669974595301
0.125,0.75,0.06,1.2,6e-06,2e-05,9,1.5,SAC105,SAC205,0.129667643457651,0.0162603190401569
0.125,0.5,0.02,0.8,6e-06,2.5e-05,3,1.0,SAC105,SAC205,0.389991300801436,0.0028529852479550703
0.125,0.5,0.04,0.8,6e-06,3e-05,3,2.0,SAC105,SAC405,0.589539997279643,0.06454585399478618
0.125,0.75,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC205,SAC105,0.31878544390201596,0.013976238231407501
0.125,0.75,0.02,0.4,3e-06,2e-05,6,1.5,SAC105,SAC205,0.721273521582283,0.0491284064482893
0.125,0.5,0.04,0.4,9e-06,2.5e-05,6,1.5,SAC305,SAC105,0.385802179574966,0.0021071991686767502
0.125,0.25,0.06,0.4,9e-06,2.5e-05,3,1.5,SAC405,SAC205,0.258655924350024,0.005162512083188591
0.125,0.25,0.04,0.4,6e-06,2.5e-05,3,1.0,SAC205,SAC305,0.29275158047676103,0.007521776264184099
0.125,0.5,0.04,1.2,9e-06,3e-05,9,1.0,SAC405,SAC105,0.346331551671028,0.00609792528484825
0.125,0.75,0.06,1.2,3e-06,3e-05,3,1.0,SAC105,SAC405,0.19100670889020002,0.0200698933913373
0.125,0.5,0.04,0.8,3e-06,2.5e-05,3,2.0,SAC105,SAC105,0.332695096731186,0.121184223797172
0.125,0.5,0.06,0.8,6e-06,2e-05,3,1.0,SAC305,SAC205,0.119977287948132,0.008150477282470012
0.125,0.75,0.06,0.8,6e-06,2e-05,6,1.5,SAC205,SAC305,0.324373722076416,0.0559828169643873
0.125,0.25,0.02,1.2,6e-06,2e-05,3,1.0,SAC305,SAC405,0.238996197779973,0.0046997163444758
0.125,0.5,0.06,1.2,3e-06,2e-05,3,2.0,SAC205,SAC205,0.082363991066814,0.06273977132514111
0.125,0.25,0.06,1.2,3e-06,2.5e-05,9,1.0,SAC205,SAC405,0.07548426277935502,0.0252804239280522
0.125,0.75,0.04,1.2,9e-06,3e-05,6,2.0,SAC205,SAC305,0.411758586764336,0.0014634336848757794
0.125,0.75,0.04,0.8,9e-06,3e-05,9,2.0,SAC105,SAC305,0.42342948168516104,0.0012842642390751297
0.125,0.25,0.04,0.4,6e-06,2e-05,3,2.0,SAC405,SAC305,0.19622776284813898,0.024208103539422203
0.125,0.5,0.06,1.2,6e-06,2.5e-05,6,1.0,SAC305,SAC405,0.24762262403965002,0.029652269557118402
0.125,0.75,0.02,0.8,6e-06,2e-05,9,2.0,SAC205,SAC205,0.519104654590289,0.0174636469455436
0.125,0.75,0.02,0.8,6e-06,2.5e-05,6,1.0,SAC205,SAC105,0.345179378986359,0.0078298012376763
0.125,0.5,0.06,1.2,3e-06,2.5e-05,6,2.0,SAC405,SAC305,0.08933591097593302,0.025489711901172996
0.125,0.25,0.02,1.2,3e-06,2.5e-05,3,1.0,SAC205,SAC105,0.8330091933409329,0.41570543870329896
0.125,0.5,0.06,0.4,3e-06,3e-05,3,2.0,SAC405,SAC305,0.35524699836969403,0.0177335614571347
0.125,0.75,0.02,0.4,9e-06,2.5e-05,9,1.5,SAC305,SAC305,0.7938685615857439,0.0009176053043802304
0.125,0.25,0.02,0.4,9e-06,2.5e-05,6,1.5,SAC305,SAC405,0.8270443181196789,0.0032637996773701205
0.125,0.5,0.06,0.8,3e-06,2e-05,9,1.0,SAC405,SAC305,0.062143381685017984,0.011857268284075
0.125,0.75,0.06,1.2,3e-06,3e-05,9,2.0,SAC105,SAC105,0.206845749169588,0.0419726520776749
0.125,0.25,0.02,1.2,3e-06,2.5e-05,9,1.0,SAC405,SAC205,0.4142723282178169,0.11316013615578399
0.125,0.75,0.06,0.4,6e-06,2e-05,3,2.0,SAC405,SAC405,0.22634243965148898,0.012312926934100705
0.125,0.75,0.02,1.2,9e-06,2e-05,9,1.5,SAC105,SAC305,0.439910014470418,0.0017087475689550003
0.125,0.75,0.02,0.4,6e-06,3e-05,3,1.5,SAC305,SAC405,1.2579803367455802,0.0475046571809799
0.125,0.5,0.06,0.8,9e-06,2e-05,3,2.0,SAC305,SAC405,0.131749346852302,0.0018791738548316
0.125,0.5,0.04,1.2,9e-06,3e-05,6,1.5,SAC305,SAC305,0.36750523000955604,0.0032047921558841196
