Design_ID,Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,BGA solder material,ELK stress,Warpage Post UF cure,Warpage post lid attach,DeltaW_BGA,DeltaW_bump
1,0.125,0.25,0.06,0.4,9e-06,2.5e-05,9,2.0,SAC205,SAC205,5.97951660095962,-0.0858542509231482,0.0477372417226432,0.102637939155102,0.0014623069728259
2,0.125,0.25,0.02,0.4,6e-06,3e-05,9,2.0,SAC305,SAC205,8.81123779236491,-0.0881483167177065,0.0368914084392599,0.237716404100259,0.0141814530361444
3,0.125,0.75,0.02,1.2,6e-06,2.5e-05,6,1.0,SAC305,SAC205,10.9201016811309,-0.0290552352089434,0.031726342625916,0.339181274175644,0.0858888849616043
4,0.125,0.5,0.02,0.4,3e-06,3e-05,3,1.0,SAC305,SAC405,9.03203748964324,-0.0634033885144162,0.0586506640538573,0.2809611111879349,0.0019535019346221
5,0.125,0.5,0.06,0.8,6e-06,2.5e-05,9,2.0,SAC205,SAC405,6.51334383004475,-0.045091301202774,0.1008390225470066,0.461580276489258,0.01155626331456
6,0.125,0.25,0.06,1.2,9e-06,2e-05,9,1.5,SAC305,SAC305,7.73222640768078,-0.0325110053963726,0.0224047134688589,0.854602307081216,0.0010345463524572
7,0.125,0.5,0.06,1.2,9e-06,3e-05,6,2.0,SAC105,SAC205,4.7132414416359,-0.0325817281263879,0.0336704162764362,0.678340256214134,0.0919591411948202
8,0.125,0.75,0.02,1.2,9e-06,3e-05,6,2.0,SAC305,SAC305,10.2561106752416,-0.0347748559433966,0.0819334965199231,0.244348213076591,0.0045508184994105
9,0.125,0.5,0.06,1.2,9e-06,2.5e-05,3,1.5,SAC405,SAC305,8.7071355025372,-0.0352913030656053,0.0198327935067936,0.305632943908374,0.0058946782955899
10,0.125,0.75,0.04,0.4,9e-06,3e-05,6,1.5,SAC305,SAC105,12.0875067178695,-0.0612040238338521,0.0426040508318691,0.312673337757587,0.0046925421411287
11,0.125,0.25,0.06,0.8,3e-06,3e-05,9,2.0,SAC205,SAC405,7.001044578207,-0.0327261395868844,0.0237615746445953,0.061075873672963,0.0143259064643642
12,0.125,0.5,0.04,0.4,9e-06,2.5e-05,3,2.0,SAC205,SAC405,8.49496463372,-0.0762769805151037,0.0394624549953732,0.58718907833099,0.094348416663706
13,0.125,0.5,0.02,1.2,3e-06,2e-05,9,2.0,SAC305,SAC105,11.5902604343704,-0.0240930605214089,0.1231168918311595,0.521414101123801,0.0192988515773323
14,0.125,0.5,0.02,0.4,9e-06,2e-05,3,1.5,SAC205,SAC405,8.32833352316442,-0.0716256203304509,0.0203931417781859,0.1481807380914689,0.0260444587329403
15,0.125,0.75,0.02,0.4,6e-06,2.5e-05,6,1.0,SAC105,SAC205,7.54959810424968,-0.0428591478266753,0.0489437170326709,0.138847600668669,0.0081936077040153
16,0.125,0.75,0.04,0.4,3e-06,2.5e-05,9,2.0,SAC105,SAC405,7.5172544671905,-0.0443574530654586,0.0731691345572471,0.299862459301948,0.0117877088487147
17,0.125,0.5,0.06,1.2,9e-06,2.5e-05,9,2.0,SAC405,SAC405,8.70713927888653,-0.0394806484109721,0.0241249077371321,0.407129645347595,0.0415241420269013
18,0.125,0.5,0.06,0.4,3e-06,3e-05,9,1.5,SAC405,SAC305,8.03432957401536,-0.061950059927767,0.0821589967235922,0.1625144034624099,0.0015049606972752
19,0.125,0.5,0.02,0.4,6e-06,2.5e-05,6,1.5,SAC105,SAC205,5.79413621148124,-0.0512961602944414,0.0520152803510426,0.10395647957921,0.0266244551166893
20,0.125,0.5,0.06,0.4,9e-06,2e-05,6,1.0,SAC105,SAC305,5.28315550839533,-0.0708322481077629,0.050928000069689,0.286538980901241,0.0058292362082284
21,0.125,0.75,0.06,0.8,6e-06,2e-05,3,1.0,SAC205,SAC105,6.43252078200285,-0.0371926348016131,0.0450207456888164,0.072218134999275,0.0661683278158306
22,0.125,0.25,0.04,0.4,3e-06,2.5e-05,6,2.0,SAC105,SAC105,5.26611214947323,-0.0640837637620279,0.0233561463246587,0.424785427749157,0.2030196739360689
23,0.125,0.25,0.04,0.8,3e-06,2e-05,9,1.5,SAC105,SAC105,6.41409944257594,-0.0334713408374226,0.024313227389939,0.291604230801265,0.0655370531603692
24,0.125,0.25,0.04,1.2,3e-06,2e-05,9,1.5,SAC105,SAC205,6.53333218705143,-0.016609109181445,0.0098013110691681,0.1836641952395439,0.0060206787311471
25,0.125,0.75,0.02,1.2,9e-06,2.5e-05,6,1.0,SAC205,SAC305,9.00776124171018,-0.0312693124869838,0.0431592389941214,0.322993149360021,0.0192904512223321
26,0.125,0.25,0.06,0.4,9e-06,2.5e-05,3,1.0,SAC305,SAC405,6.70360562422777,-0.0825440191256347,0.0470590819895732,0.237265087664127,0.093144722282887
27,0.125,0.75,0.02,1.2,3e-06,2e-05,9,1.5,SAC405,SAC105,12.8605595163948,-0.0255464024376123,0.207298688590526,0.291906453669072,0.0080688153684605
28,0.125,0.5,0.02,0.4,3e-06,3e-05,9,1.0,SAC105,SAC205,5.86566133588267,-0.0494367572246118,0.0451210085302591,0.958663851022713,0.1253499086014929
29,0.125,0.75,0.02,1.2,9e-06,2e-05,6,2.0,SAC405,SAC405,11.5373538022921,-0.0367550258524715,0.0350227542221545,0.384665183722973,0.0072177555412054
30,0.125,0.5,0.06,0.8,3e-06,3e-05,9,1.0,SAC405,SAC205,9.09199574253762,-0.0364501127623952,0.1251252740621565,0.184301156550646,0.0077661163086303
31,0.125,0.25,0.02,0.8,6e-06,2.5e-05,3,2.0,SAC405,SAC205,11.7783992722641,-0.0450013325898907,0.0405171774327754,0.3796970198551819,0.0250677076401189
32,0.125,0.25,0.02,0.8,9e-06,3e-05,6,1.0,SAC105,SAC405,6.27533896957113,-0.0377426760387606,0.0396679348777979,0.3269353508949279,0.0017877579957712
33,0.125,0.5,0.06,0.8,6e-06,3e-05,3,1.5,SAC105,SAC105,4.7095720076628,-0.0377033494296483,0.0513951811008154,0.242907255887985,0.0222725190687924
34,0.125,0.75,0.02,0.4,6e-06,2e-05,3,1.5,SAC105,SAC205,7.55062589154705,-0.0444646377582102,0.0280526634305715,0.373572148382664,0.0022696272062603
35,0.125,0.75,0.04,0.8,3e-06,2.5e-05,9,1.5,SAC105,SAC405,6.36797357646358,-0.0298148106667212,0.1169193759560583,0.332309007644654,0.0010478594758751
36,0.125,0.25,0.06,0.8,6e-06,3e-05,6,2.0,SAC205,SAC205,6.70877241467934,-0.0400307199161033,0.024598288204288,0.35063012689352,0.0246358404983767
37,0.125,0.75,0.04,1.2,6e-06,3e-05,3,2.0,SAC105,SAC105,6.07111213600604,-0.0240877518663182,0.0743709858506917,0.356127806007862,0.0186776387563441
38,0.125,0.25,0.04,0.4,9e-06,2e-05,3,2.0,SAC305,SAC305,8.00452058794858,-0.0888326616259291,0.0330692542484029,0.0875957570970057,0.0137383606925141
39,0.125,0.25,0.04,0.8,3e-06,2e-05,3,2.0,SAC305,SAC205,9.7897843534473,-0.033597247005673,0.0647878693416714,0.377496354281902,0.053926094435155
40,0.125,0.25,0.06,0.8,9e-06,3e-05,3,2.0,SAC405,SAC305,8.7141835050071,-0.0483481936680617,0.0300056558044161,0.519148103892801,0.094895139336586
41,0.125,0.25,0.02,1.2,3e-06,2e-05,3,1.0,SAC405,SAC305,12.258275257403,-0.0198170423973351,0.0395115362480282,0.2211890257894999,0.0132441730820574
42,0.125,0.75,0.02,0.4,3e-06,3e-05,3,1.5,SAC305,SAC305,11.482549513285,-0.0508675044402479,0.0383806193713097,0.322963034113248,0.0028947733226231
