Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,ELK stress,Warpage Post UF cure,Warpage post lid attach,Design_ID,BGA solder material,DeltaW_BGA,DeltaW_bump
0.25,0.06,0.8,6e-06,3e-05,6,2.0,SAC205,6.70877241467934,-0.04003071991610335,0.024598288204288048,36,SAC205,0.0246358404983767,0.35063012689352
0.75,0.04,1.2,6e-06,3e-05,3,2.0,SAC105,6.07111213600604,-0.024087751866318254,0.0743709858506917,37,SAC105,0.018677638756344102,0.356127806007862
0.25,0.04,0.4,9e-06,2e-05,3,2.0,SAC305,8.00452058794858,-0.08883266162592911,0.03306925424840296,38,SAC305,0.0137383606925141,0.0875957570970057
0.25,0.04,0.8,3e-06,2e-05,3,2.0,SAC305,9.7897843534473,-0.033597247005673084,0.0647878693416714,39,SAC205,0.053926094435155,0.37749635428190204
0.25,0.06,0.8,9e-06,3e-05,3,2.0,SAC405,8.7141835050071,-0.04834819366806179,0.030005655804416165,40,SAC305,0.09489513933658601,0.519148103892801
0.25,0.02,1.2,3e-06,2e-05,3,1.0,SAC405,12.258275257403,-0.01981704239733516,0.039511536248028244,41,SAC305,0.0132441730820574,0.22118902578949995
0.75,0.02,0.4,3e-06,3e-05,3,1.5,SAC305,11.482549513285,-0.05086750444024793,0.038380619371309786,42,SAC305,0.0028947733226231797,0.322963034113248
0.5,0.06,0.8,3e-06,3e-05,9,1.0,SAC405,9.09205146781787,-0.03298093643388704,0.02211061253910883,43,SAC405,0.0192754894960671,0.310776174068451
0.5,0.06,0.8,3e-06,2.5e-05,3,1.0,SAC205,6.78129560235096,-0.03160786940134129,0.03020167478825895,44,SAC305,0.0205587215023115,0.325251206755638
0.5,0.02,0.8,3e-06,2.5e-05,3,1.5,SAC205,10.1440300648868,-0.03299953090026971,0.028176630847156,45,SAC105,0.1256461404263969,0.197957959026098
0.5,0.04,1.2,3e-06,3e-05,3,2.0,SAC405,11.2348830175258,-0.02083280624356115,0.017229957797098825,46,SAC305,0.0033225591760128598,0.40072803944349294
0.5,0.04,0.4,3e-06,2.5e-05,9,1.5,SAC105,6.07763432113941,-0.05595386671484444,0.1214911304414272,47,SAC405,0.0076868228788953,0.33354136347770696
0.75,0.06,1.2,3e-06,2e-05,9,1.0,SAC205,6.88250741751118,-0.018931839964352548,0.10145920328795899,48,SAC205,0.0213879714719951,0.247808743268251
0.25,0.02,1.2,6e-06,2.5e-05,6,2.0,SAC305,10.3787205859897,-0.02620411867974318,0.0625696163624524,49,SAC105,0.09956167731434042,0.4801819622516631
0.25,0.04,1.2,6e-06,2.5e-05,9,1.5,SAC105,6.1602075041976,-0.02811853610910467,0.03140905185136935,50,SAC105,0.028983228141442,0.23632010817527793
0.25,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC405,8.55468028327698,-0.08598143076233099,0.0898363087326288,51,SAC405,0.016765377309639003,0.10860165208578101
0.75,0.02,0.8,9e-06,2.5e-05,6,1.0,SAC105,7.33846834435655,-0.03591900371247896,0.02716722281184041,52,SAC405,0.0010835458684823598,0.379960551857948
0.5,0.06,1.2,6e-06,3e-05,9,1.5,SAC305,7.90443269788008,-0.02917185347178012,0.034260204061865765,53,SAC105,0.12975622899830297,0.204542804509402
0.5,0.04,0.4,3e-06,3e-05,3,1.5,SAC105,6.07788015113509,-0.05470651789801194,0.016196047974517486,54,SAC405,0.00081732826171788,0.295155182480812
0.5,0.02,0.4,9e-06,3e-05,9,1.5,SAC405,10.9254515332748,-0.08034052260336459,0.13641482219099949,55,SAC205,0.025354446377605196,0.18983848020434402
0.5,0.04,0.8,3e-06,2.5e-05,9,2.0,SAC305,9.60209020417707,-0.03433377927285613,0.02416305700899098,56,SAC405,0.0011911326810150097,0.468110938866933
0.25,0.04,0.8,3e-06,2e-05,3,2.0,SAC405,11.0881872641361,-0.03480409792973652,0.04692653380334367,57,SAC305,0.027564909774810104,0.14388425275683397
0.25,0.04,0.4,6e-06,2.5e-05,3,1.5,SAC305,7.6148056021812,-0.08009800269792314,0.05226895652594974,58,SAC105,0.019859922380419396,0.401424050331116
0.75,0.04,1.2,9e-06,2e-05,6,1.0,SAC205,7.98826556676922,-0.03327893977984778,0.043612276436760945,59,SAC205,0.00248880629806081,0.18284219503402702
0.5,0.02,1.2,9e-06,3e-05,3,1.0,SAC305,10.1168913406629,-0.0325141993816942,0.01884179702028626,60,SAC105,0.018816806783434,0.33297008772691106
0.75,0.02,0.8,3e-06,2e-05,9,2.0,SAC405,13.2962014049517,-0.03800318483263248,0.03342969389632335,61,SAC205,0.0055574292491655,0.7448600878318069
0.25,0.06,0.8,9e-06,3e-05,3,2.0,SAC205,6.39055228098358,-0.04555271335993891,0.05254936125129453,62,SAC305,0.006008563213981601,0.33140388627847
0.75,0.02,0.8,3e-06,2e-05,3,1.0,SAC105,8.47305650119123,-0.02839081571437417,0.01819536252878602,63,SAC405,0.010597971791867201,0.43245014548301697
0.5,0.02,0.4,3e-06,3e-05,6,2.0,SAC405,10.278378831296,-0.06800135358935216,0.029990006034495264,64,SAC305,0.00426416660775426,0.11222201213240601
0.75,0.06,0.8,3e-06,2.5e-05,6,2.0,SAC105,4.67296236721765,-0.027074865909526052,0.0609355773776769,65,SAC105,0.07620519539341261,0.304117664694786
0.25,0.02,1.2,6e-06,2.5e-05,3,1.0,SAC405,11.7777913542038,-0.027302325877826637,0.024242143204901364,66,SAC205,0.002839351560396609,0.36636195331811894
0.75,0.04,0.4,3e-06,3e-05,3,2.0,SAC405,11.9032228937092,-0.05187078620656384,0.0394473727792501,67,SAC405,0.0274232605006546,0.13360893726348902
0.5,0.04,0.8,9e-06,3e-05,9,2.0,SAC305,8.6132387574998,-0.04941908290493296,0.02380372607149183,68,SAC105,0.0030298014462459798,0.285563498735428
0.75,0.04,0.8,9e-06,2e-05,3,2.0,SAC105,6.41711858980323,-0.043119698239024694,0.02920806035399437,69,SAC405,0.0014013830368639901,0.4479608088731771
0.75,0.02,0.4,9e-06,2.5e-05,6,2.0,SAC105,7.62766756493122,-0.05366368294926352,0.01874752453295507,70,SAC105,0.004058736980368851,0.723430862029393
0.75,0.04,0.8,6e-06,3e-05,6,1.0,SAC305,9.39028551894082,-0.03801806591218334,0.037187466747127446,71,SAC305,0.0023531920160166893,0.503151009480158
0.5,0.02,0.8,9e-06,3e-05,6,1.0,SAC205,8.66381696667005,-0.043930640327744096,0.02994592516915871,72,SAC405,0.0018283597019035404,0.4812221626440619
0.75,0.04,0.8,3e-06,3e-05,9,1.0,SAC105,6.36801709881323,-0.026178262138273567,0.0362594928592442,73,SAC205,0.0545797869563103,0.21803667396307003
0.75,0.02,0.8,6e-06,2.5e-05,6,1.5,SAC305,11.5911337477715,-0.04137286427430802,0.048613422550260896,74,SAC105,0.0356741187861189,0.327747486531734
0.75,0.06,0.4,6e-06,2.5e-05,6,1.5,SAC105,6.24301058841259,-0.05352749541634685,0.04408424999564884,75,SAC305,0.0164662378374487,0.182985063642264
