RadViz_X,RadViz_Y,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,BGA solder material,Obj_ELK stress,Obj_Warpage Post UF cure,Obj_Warpage post lid attach,Obj_DeltaW_BGA,Obj_DeltaW_bump
0.016091779878524688,-0.5853925044908097,0.25,0.06,1.2,3e-06,2e-05,9.0,1.0,SAC405,SAC405,9.473232978454861,-0.021366605217458326,0.1514448691976098,0.017955397330878146,0.0
-0.011226793563963196,-0.047557423423794556,0.25,0.06,0.4,3e-06,3e-05,3.0,2.0,SAC105,SAC405,4.252946008648014,-0.05731845694328785,0.023338096518213513,0.016649825382318746,0.30019614245073145
0.016091779878524688,-0.5853925044908097,0.25,0.06,1.2,3e-06,2e-05,9.0,1.0,SAC405,SAC405,9.473232978454861,-0.021366605217458326,0.1514448691976098,0.017955397330878146,0.0
-0.20840179541721993,-0.11260168361243768,0.75,0.06,1.2,9e-06,2.5e-05,9.0,2.0,SAC405,SAC405,8.736171797368941,-0.033830484835847746,0.0009047780122977828,0.026645458323267413,0.2918256227458749
-0.35029917123782517,-0.025913382939555005,0.75,0.02,0.4,9e-06,2e-05,3.0,2.0,SAC405,SAC405,13.652613130779223,-0.06525642654492941,0.02332301060072678,0.0,0.36309430133868204
-0.06292803070790395,-0.014788597717458968,0.25,0.04,0.4,9e-06,2e-05,9.0,1.5,SAC405,SAC205,9.172745841884971,-0.0920835349476776,0.06489828624342792,0.0,0.20501264457862828
-0.19894995850016345,0.22643340701975673,0.25,0.02,0.4,9e-06,3e-05,3.0,1.5,SAC305,SAC105,8.7666202548463,-0.08059144365026194,0.034931297405465106,0.009106115374671483,1.010526999252042
0.09745690050741376,-0.09543707702989095,0.25,0.04,1.2,3e-06,2.5e-05,3.0,1.5,SAC105,SAC105,6.509232763635396,-0.016043469214274155,0.007785301832321095,0.19966043394778185,0.15483025855795168
0.09522640356931615,0.07193072628003284,0.25,0.04,0.4,3e-06,2.5e-05,3.0,2.0,SAC105,SAC105,5.249808806802499,-0.06022574404569761,0.012730768655153678,0.14362319685529976,0.28282261491423666
0.11885340564793076,-0.12754079089556664,0.25,0.06,1.2,3e-06,2.5e-05,3.0,1.5,SAC105,SAC105,5.33615115369032,-0.0170592391290519,0.012699439900187057,0.1786941723963739,0.1046871111342979
-0.17780383083182566,0.21285702719777097,0.25,0.02,0.4,9e-06,3e-05,3.0,2.0,SAC305,SAC305,8.72014535171413,-0.08184726326887803,0.030198593430444943,0.018260586166852832,0.922244921738698
-0.1581359023025586,0.13224182922558247,0.25,0.02,0.4,6e-06,3e-05,6.0,2.0,SAC305,SAC305,8.548976149362899,-0.08144442200844482,0.037389085449252527,0.000485233508105528,0.7686352660843485
-0.3143246565324907,-0.08993373155462492,0.75,0.02,0.4,3e-06,2e-05,3.0,1.0,SAC405,SAC405,12.639467746728926,-0.05523622978189454,0.031118681784532917,0.0,0.3180564350138213
-0.19056852992135387,0.2153587426715608,0.25,0.02,0.4,6e-06,3e-05,3.0,2.0,SAC305,SAC305,8.564172348476086,-0.07884380043461443,0.029006139388234434,0.014167779828598364,0.9691405925189518
-0.13847809912407372,0.08752203566426042,0.25,0.02,0.4,6e-06,3e-05,6.0,1.0,SAC305,SAC305,8.569241580116753,-0.07960881753087021,0.041931110299714476,0.002510357406581374,0.64891837253892
-0.2709063386369847,-0.17041897608196396,0.25,0.02,0.8,6e-06,2e-05,3.0,1.0,SAC405,SAC405,11.671162018729751,-0.044674197365135615,0.03695184898471679,0.0005652208767782975,0.20969070822653468
-0.3382730452235768,-0.04375325077594762,0.75,0.02,0.4,6e-06,2e-05,3.0,1.5,SAC405,SAC405,13.102552646438458,-0.06060528451782268,0.028257342464229805,0.0,0.3887005683705311
0.09751247755599396,0.04606457168411375,0.25,0.04,0.4,3e-06,2.5e-05,3.0,1.0,SAC105,SAC105,5.2653933232199295,-0.05970892212228586,0.021338615654968314,0.13366580412960355,0.2633525933295239
-0.05665934008388723,0.048359708548028,0.25,0.02,0.4,9e-06,3e-05,3.0,1.5,SAC105,SAC105,5.459128514472209,-0.06393502891350475,0.04705129419910257,0.005270230895254056,0.726302581095021
0.031423649557091,-0.5404110849172358,0.5,0.06,1.2,3e-06,2e-05,9.0,1.0,SAC405,SAC305,9.30363195899221,-0.024155092403433862,0.14579943997724704,0.027704349598468615,0.0
0.1272629047236603,-0.13263891442685832,0.25,0.06,0.4,6e-06,2.5e-05,9.0,1.0,SAC105,SAC405,4.394947673513581,-0.07076303805599585,0.1155592391509126,0.005748156224452305,0.22008827893915375
-0.06415370142333572,0.02179732866105854,0.25,0.02,0.4,9e-06,2e-05,9.0,1.5,SAC305,SAC305,8.769952412379567,-0.08892285279357469,0.07470445872801681,0.0,0.4306586049123786
-0.0064347958057379,-0.4285945613339513,0.25,0.06,1.2,3e-06,2e-05,6.0,1.5,SAC405,SAC105,9.439567152451085,-0.01984895640015559,0.09909429762181982,0.07549973058739048,0.013270822741744792
-0.19162973871850808,0.0023546749822785772,0.75,0.02,0.4,9e-06,2e-05,6.0,2.0,SAC105,SAC405,8.022331061696944,-0.05232337691509805,0.015558261470531236,0.003766263674592471,0.5858570048918225
-0.010368917862546291,-0.4617906926702164,0.25,0.06,1.2,6e-06,2e-05,9.0,1.0,SAC405,SAC305,9.177970912797875,-0.029029369391517637,0.13276291817099453,0.013247955554048101,0.03208489351641197
