Dataset,Target,Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Model_Quality
Assembly,ELK stress,CatBoost,0.998399223260611,0.9851455422716747,0.0076343706126374405,0.0723153046653144,Very good
Assembly,Warpage Post UF cure,CatBoost,0.9971057415789125,0.9795958881818388,1.014728992067657e-06,6.062086354766399e-06,Very good
Assembly,Warpage post lid attach,CatBoost,0.829055585327572,0.13729839702978364,0.00028371548985488954,0.002157624878161078,Weak
SJR,DeltaW_BGA,CatBoost,0.9390446091646715,0.1997795039939051,0.00010837209401465951,0.0014764842545170987,Weak
SJR,DeltaW_bump,CatBoost,0.9452857103439571,0.4761397687810802,0.002243314103908713,0.015445212501925189,Weak
