,ELK stress,Warpage Post UF cure,Warpage post lid attach,DeltaW_BGA,DeltaW_bump
ELK stress,1.0,0.09387034472918147,-0.07394757550319789,-0.07231239475155092,-0.16201063403064989
Warpage Post UF cure,0.09387034472918147,1.0,-0.0832010334050911,0.050665535862498966,-0.0661402278643367
Warpage post lid attach,-0.07394757550319789,-0.0832010334050911,1.0,-0.055069381777800325,-0.0984337214079802
DeltaW_BGA,-0.07231239475155092,0.050665535862498966,-0.055069381777800325,1.0,0.14985189763773693
DeltaW_bump,-0.16201063403064989,-0.0661402278643367,-0.0984337214079802,0.14985189763773693,1.0
