RadViz_X,RadViz_Y,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,BGA solder material,Obj_ELK stress,Obj_Warpage Post UF cure,Obj_Warpage post lid attach,Obj_DeltaW_BGA,Obj_DeltaW_bump
-0.05619829514098581,-0.1422522436169493,0.75,0.06,1.2,9e-06,2e-05,3.0,2.0,SAC105,SAC205,4.761618614196777,-0.03250151127576828,0.01868280554465366,0.16243728070706134,0.020131252570747424
-0.1576797804504613,-0.010532461920251911,0.75,0.02,0.4,9e-06,2e-05,6.0,1.5,SAC405,SAC405,13.569303512573242,-0.06660531461238861,0.045196721000692275,0.47512734494192566,0.002755862158451325
-0.011737611026823426,-0.022854857087869305,0.25,0.04,0.4,9e-06,2e-05,6.0,1.0,SAC405,SAC405,9.261554718017578,-0.08771081268787384,0.07320171903067244,0.23254048265525626,0.0015705780189676389
-0.004609582724242855,0.02548400121002378,0.25,0.02,0.4,9e-06,2e-05,9.0,1.0,SAC405,SAC405,10.456433296203613,-0.08850128203630447,0.06670420918252293,0.3858350294373094,0.00199361748860231
0.18534296594692376,0.11404048870365635,0.25,0.02,0.4,9e-06,2.5e-05,9.0,1.5,SAC305,SAC405,8.908426284790039,-0.08563848584890366,0.06936577310387887,0.7264405700042805,0.002803452110614416
-0.1823346363459307,-0.23179220582041393,0.25,0.06,1.2,3e-06,2e-05,3.0,1.0,SAC205,SAC305,7.20526123046875,-0.017150867730379105,0.037752955895848525,0.08138384798314363,0.04533088253378317
-0.22841253228257402,-0.0006028119635727699,0.25,0.06,1.2,3e-06,2e-05,3.0,1.5,SAC105,SAC105,5.218256950378418,-0.01851174607872963,0.02630566903178011,0.08972913355597611,0.15877034970966633
0.13245456168450015,-0.18486376920150113,0.5,0.06,0.8,9e-06,3e-05,9.0,1.0,SAC105,SAC405,4.3317437171936035,-0.042730703949928284,0.0871219823179755,0.3137869665858191,0.004984070087041515
-0.13284337048394673,-0.18357862104922704,0.25,0.06,0.8,3e-06,2e-05,3.0,1.0,SAC205,SAC305,6.957116603851318,-0.03165600821375847,0.03888003958373104,0.07810617391571813,0.031054276202763225
0.16739556147869553,-0.4193571180288433,0.75,0.06,0.8,3e-06,2e-05,9.0,1.0,SAC105,SAC305,4.832793712615967,-0.030327273532748222,0.16608461174935404,0.1000897065239647,0.014794906494092224
-0.27218606741267753,-0.04576173104674068,0.5,0.06,0.8,3e-06,2e-05,3.0,1.0,SAC405,SAC105,9.01433277130127,-0.03485431522130966,0.04083355881042121,0.1151584477149881,0.10716499558677604
-0.15354246228869184,-0.06915403085563854,0.75,0.02,0.8,9e-06,2.5e-05,6.0,1.5,SAC405,SAC405,12.733036994934082,-0.04971151798963547,0.038449095407331685,0.5210857691194778,0.0025505771971415497
-0.1246951899843153,-0.09402250047230888,0.25,0.02,0.8,9e-06,2e-05,9.0,1.5,SAC405,SAC405,11.327308654785156,-0.05316082015633583,0.044193237256957146,0.3865459529530429,0.0019047429677383646
0.0887667859980633,-0.3333327120368424,0.5,0.06,0.8,3e-06,2e-05,9.0,1.5,SAC105,SAC305,4.951949596405029,-0.03232856094837189,0.12982034325537148,0.0934490988038084,0.01566113703816023
0.0555668220408242,0.0711267395894695,0.25,0.02,0.4,9e-06,2.5e-05,6.0,1.0,SAC405,SAC405,10.212104797363281,-0.08517332375049591,0.060101996940291384,0.5643985431434341,0.0019321127478004892
-0.08179763466121387,0.15233582857495157,0.25,0.06,0.4,3e-06,2e-05,3.0,1.5,SAC205,SAC105,5.3132452964782715,-0.06671423465013504,0.03179506439048677,0.15985776871753238,0.13475040168263755
0.13544250923797557,-0.3753903001386317,0.5,0.06,0.8,3e-06,2e-05,9.0,1.0,SAC105,SAC305,4.835451602935791,-0.03295865282416344,0.1520286044316112,0.09056114982139078,0.013404777652639721
-0.19552733747271747,-0.013881714354229222,0.5,0.06,0.8,3e-06,2e-05,3.0,1.5,SAC205,SAC105,6.587648868560791,-0.03286903351545334,0.03387719944496734,0.11140402820737424,0.12215635187676523
-0.21477851503499135,-0.0074826173401680044,0.25,0.06,1.2,3e-06,2e-05,3.0,2.0,SAC105,SAC105,5.10474157333374,-0.01851174607872963,0.026600289166356796,0.09857316167807839,0.1543638664712004
-0.14215556629200915,-0.15727155231367212,0.75,0.04,0.8,9e-06,2e-05,6.0,1.5,SAC405,SAC405,10.57027816772461,-0.049235012382268906,0.05359091381060563,0.22840879241199719,0.0028462948902829234
