Dataset,Target,Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Model_Quality
Assembly,ELK stress,XGBoost,0.9997734734274395,0.984405235107829,0.0010803429147761689,0.07591930954240526,Very good
Assembly,Warpage Post UF cure,XGBoost,0.9953856948490872,0.9660308078090502,1.6177785579765117e-06,1.0092288176930446e-05,Very good
Assembly,Warpage post lid attach,Random Forest,0.8134307641794152,0.16590788646464183,0.00030964791820851034,0.002086072274174243,Weak
SJR,DeltaW_BGA,Random Forest,0.9336769577732604,0.5792827548400281,0.002719278948455578,0.012404200333361055,Medium
SJR,DeltaW_bump,Random Forest,0.8613289441557008,0.32835237209810453,0.0002465421432809604,0.0012392548705392754,Weak
